"Site Time","Nextracker 01: Tracker Position 1 (TrackerPos1) Degrees","Nextracker 01: Tracker Position 2 (TrackerPos2) Degrees","Nextracker 01: Tracker Position 3 (TrackerPos3) Degrees"
12-02-2024 18:15:00,57.32,57.21,57.21
12-02-2024 18:30:00,57.32,57.21,57.21
12-02-2024 18:45:00,57.32,57.21,57.21
12-02-2024 19:00:00,57.32,57.21,57.21
12-02-2024 19:15:00,57.32,57.21,57.21
12-02-2024 19:30:00,57.32,57.21,57.21
12-02-2024 19:45:00,57.32,57.21,57.21
12-02-2024 20:00:00,57.32,57.21,57.21
12-02-2024 20:15:00,57.32,57.21,57.21
12-02-2024 20:30:00,57.32,57.21,57.21
12-02-2024 20:45:00,57.32,57.21,57.21
12-02-2024 21:00:00,57.32,57.21,57.21
12-02-2024 21:15:00,57.306,57.21,57.21
12-02-2024 21:30:00,57.32,57.21,57.21
12-02-2024 21:45:00,57.32,57.21,57.21
12-02-2024 22:00:00,57.32,57.21,57.21
12-02-2024 22:15:00,57.32,57.21,57.21
12-02-2024 22:30:00,57.32,57.21,57.21
12-02-2024 22:45:00,57.32,57.21,57.21
12-02-2024 23:00:00,57.32,57.21,57.21
12-02-2024 23:15:00,57.32,57.21,57.21
12-02-2024 23:30:00,57.32,57.21,57.21
12-02-2024 23:45:00,57.32,57.21,57.21
12-03-2024 00:00:00,57.32,57.21,57.21
12-03-2024 00:15:00,57.32,57.21,57.21
12-03-2024 00:30:00,57.317,57.21,57.21
12-03-2024 00:45:00,57.302,57.21,57.21
12-03-2024 01:00:00,57.32,57.21,57.21
12-03-2024 01:15:00,57.32,57.21,57.21
12-03-2024 01:30:00,57.32,57.21,57.21
12-03-2024 01:45:00,57.32,57.21,57.21
12-03-2024 02:00:00,57.32,57.21,57.21
12-03-2024 02:15:00,57.32,57.21,57.21
12-03-2024 02:30:00,57.32,57.21,57.21
12-03-2024 02:45:00,57.32,57.21,57.21
12-03-2024 03:00:00,57.32,57.21,57.21
12-03-2024 03:15:00,57.32,57.21,57.21
12-03-2024 03:30:00,57.32,57.21,57.21
12-03-2024 03:45:00,57.32,57.21,57.21
12-03-2024 04:00:00,57.32,57.21,57.21
12-03-2024 04:15:00,57.303,57.21,57.21
12-03-2024 04:30:00,57.319,57.21,57.21
12-03-2024 04:45:00,57.32,57.21,57.21
12-03-2024 05:00:00,57.32,57.21,57.21
12-03-2024 05:15:00,57.302,57.21,57.21
12-03-2024 05:30:00,57.276,57.21,57.21
12-03-2024 05:45:00,57.22,57.21,57.21
12-03-2024 06:00:00,57.236,57.21,57.21
12-03-2024 06:15:00,57.226,57.21,57.21
12-03-2024 06:30:00,57.279,57.21,57.21
12-03-2024 06:45:00,57.302,57.21,57.21
12-03-2024 07:00:00,57.28,57.21,57.21
12-03-2024 07:15:00,57.302,57.21,57.21
12-03-2024 07:30:00,20.604,20.627,20.626
12-03-2024 07:45:00,-0.763,-0.3,-1.835
12-03-2024 08:00:00,-12.693,-14.831,-15.3
12-03-2024 08:15:00,-27.674,-27.815,-27.783
12-03-2024 08:30:00,-40.987,-40.794,-39.697
12-03-2024 08:45:00,-58.404,-58.48,-58.421
12-03-2024 09:00:00,-60.4,-60.51,-60.4
12-03-2024 09:15:00,-60.4,-60.51,-60.4
12-03-2024 09:30:00,-60.4,-60.51,-60.4
12-03-2024 09:45:00,-59.012,-59.089,-59.313
12-03-2024 10:00:00,-54.876,-54.917,-55.042
12-03-2024 10:15:00,-49.402,-49.275,-49.037
12-03-2024 10:30:00,-43.317,-43.601,-43.616
