Timestamp (UTC),Wind Speed (m/s),Wind Gust Speed (m/s),Wind Dir (Deg),Snowfall Rate (mm/hr),Weather Code,trigger,stow_angle,stow_setpoint,tracker_theta,td,time_delta
2024-01-01 22:45:00,2.0,2.8,298,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 22:45:00,0 days 00:15:00
2024-01-01 23:00:00,2.0,2.8,296,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 23:00:00,0 days 00:15:00
2024-01-01 23:15:00,1.9,2.7,291,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 23:15:00,0 days 00:15:00
2024-01-01 23:30:00,1.8,2.6,286,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 23:30:00,0 days 00:15:00
2024-01-01 23:45:00,1.7,2.5,281,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 23:45:00,0 days 00:15:00
2024-01-02 00:00:00,1.6,2.4,276,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 00:00:00,0 days 00:15:00
2024-01-02 00:15:00,1.6,2.4,270,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 00:15:00,0 days 00:15:00
2024-01-02 00:30:00,1.6,2.4,264,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 00:30:00,0 days 00:15:00
2024-01-02 00:45:00,1.6,2.4,258,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 00:45:00,0 days 00:15:00
2024-01-02 01:00:00,1.6,2.4,252,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 01:00:00,0 days 00:15:00
2024-01-02 01:15:00,1.6,2.4,250,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 01:15:00,0 days 00:15:00
2024-01-02 01:30:00,1.6,2.4,248,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 01:30:00,0 days 00:15:00
2024-01-02 01:45:00,1.6,2.4,246,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 01:45:00,0 days 00:15:00
2024-01-02 02:00:00,1.6,2.4,244,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 02:00:00,0 days 00:15:00
2024-01-02 02:15:00,1.7,2.4,244,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 02:15:00,0 days 00:15:00
2024-01-02 02:30:00,1.8,2.4,244,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 02:30:00,0 days 00:15:00
2024-01-02 02:45:00,1.9,2.4,244,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 02:45:00,0 days 00:15:00
2024-01-02 03:00:00,2.0,2.4,244,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 03:00:00,0 days 00:15:00
2024-01-02 03:15:00,2.0,2.4,246,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 03:15:00,0 days 00:15:00
2024-01-02 03:30:00,2.0,2.4,247,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 03:30:00,0 days 00:15:00
2024-01-02 03:45:00,2.0,2.4,248,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 03:45:00,0 days 00:15:00
2024-01-02 04:00:00,2.0,2.4,250,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 04:00:00,0 days 00:15:00
2024-01-02 04:15:00,2.0,2.6,254,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 04:15:00,0 days 00:15:00
2024-01-02 04:30:00,2.0,2.8,257,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 04:30:00,0 days 00:15:00
2024-01-02 04:45:00,2.0,3.0,260,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 04:45:00,0 days 00:15:00
2024-01-02 05:00:00,2.0,3.2,264,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 05:00:00,0 days 00:15:00
2024-01-02 05:15:00,2.0,3.2,265,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 05:15:00,0 days 00:15:00
2024-01-02 05:30:00,2.0,3.2,266,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 05:30:00,0 days 00:15:00
2024-01-02 05:45:00,2.0,3.2,267,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 05:45:00,0 days 00:15:00
2024-01-02 06:00:00,2.0,3.2,268,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 06:00:00,0 days 00:15:00
2024-01-02 06:15:00,2.0,3.3,268,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 06:15:00,0 days 00:15:00
2024-01-02 06:30:00,2.0,3.4,268,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 06:30:00,0 days 00:15:00
2024-01-02 06:45:00,2.0,3.5,268,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 06:45:00,0 days 00:15:00
2024-01-02 07:00:00,2.0,3.6,268,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 07:00:00,0 days 00:15:00
2024-01-02 07:15:00,2.0,3.5,266,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 07:15:00,0 days 00:15:00
2024-01-02 07:30:00,2.0,3.4,265,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 07:30:00,0 days 00:15:00
2024-01-02 07:45:00,2.0,3.3,264,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 07:45:00,0 days 00:15:00
2024-01-02 08:00:00,2.0,3.2,262,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 08:00:00,0 days 00:15:00
2024-01-02 08:15:00,2.0,3.2,261,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 08:15:00,0 days 00:15:00
2024-01-02 08:30:00,2.0,3.2,260,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 08:30:00,0 days 00:15:00
2024-01-02 08:45:00,2.0,3.2,259,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 08:45:00,0 days 00:15:00
2024-01-02 09:00:00,2.0,3.2,258,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 09:00:00,0 days 00:15:00
2024-01-02 09:15:00,1.9,3.2,256,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 09:15:00,0 days 00:15:00
2024-01-02 09:30:00,1.8,3.2,254,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 09:30:00,0 days 00:15:00
2024-01-02 09:45:00,1.7,3.2,252,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 09:45:00,0 days 00:15:00
2024-01-02 10:00:00,1.6,3.2,250,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 10:00:00,0 days 00:15:00
2024-01-02 10:15:00,1.6,3.2,248,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 10:15:00,0 days 00:15:00
2024-01-02 10:30:00,1.6,3.2,246,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 10:30:00,0 days 00:15:00
2024-01-02 10:45:00,1.6,3.2,244,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 10:45:00,0 days 00:15:00
2024-01-02 11:00:00,1.6,3.2,242,0.0,800,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 11:00:00,0 days 00:15:00
2024-01-02 11:15:00,1.6,3.2,242,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 11:15:00,0 days 00:15:00
2024-01-02 11:30:00,1.6,3.2,242,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 11:30:00,0 days 00:15:00
