timestamp_local,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-04-26 00:45:00,122.10548109928007,122.10548109928007,-32.10548109928007,-32.10548109928007,18.108127241117757,2.2522250109395827
2024-04-26 01:00:00,121.14673247491962,121.14673247491962,-31.14673247491961,-31.14673247491961,22.237092232687246,2.2538979741439107
2024-04-26 01:15:00,120.00567782193048,120.00567782193048,-30.005677821930483,-30.005677821930483,26.25687094816658,2.255570023029577
2024-04-26 01:30:00,118.69296108412156,118.69296108412156,-28.692961084121563,-28.692961084121563,30.156825303503524,2.2572411574146827
2024-04-26 01:45:00,117.2198957902882,117.2198957902882,-27.219895790288202,-27.219895790288202,33.93012959819089,2.258911376877222
2024-04-26 02:00:00,115.59811107354433,115.59811107354433,-25.598111073544327,-25.598111073544327,37.57347747882909,2.2605806812280207
2024-04-26 02:15:00,113.83925192610064,113.83925192610064,-23.839251926100637,-23.839251926100637,41.0866562557369,2.262249070299731
2024-04-26 02:30:00,111.95474071428353,111.95474071428353,-21.954740714283535,-21.954740714283535,44.47205765776101,2.2639165437431075
2024-04-26 02:45:00,109.95559913363007,109.95559913363007,-19.955599133630066,-19.955599133630066,47.734181286339776,2.2655831012889394
2024-04-26 03:00:00,107.85232701614133,107.85232701614133,-17.852327016141334,-17.852327016141334,50.87916735185121,2.2672487428499153
2024-04-26 03:15:00,105.65482953606299,105.65482953606299,-15.654829536062989,-15.654829536062989,53.914384613034656,2.268913467989478
2024-04-26 03:30:00,103.37238294042078,103.37238294042078,-13.372382940420778,-13.372382940420778,56.84808659089464,2.270577276511176
2024-04-26 03:45:00,101.0136317831913,101.0136317831913,-11.013631783191295,-11.013631783191295,59.689136364441424,2.272240168276767
2024-04-26 04:00:00,98.58660911944685,98.58660911944685,-8.586609119446846,-8.586609119446846,62.44679826744033,2.2739021428569686
2024-04-26 04:15:00,96.09877213486449,96.09877213486449,-6.098772134864495,-6.098772134864495,65.13059124969766,2.2755632000771584
2024-04-26 04:30:00,93.55705000821182,93.55705000821182,-3.5570500082118133,-3.5570500082118133,67.75019406567708,2.277223339806369
2024-04-26 04:45:00,90.96789931480033,90.96789931480033,-0.9678993148003407,-0.9678993148003407,70.3153959818519,2.2788825615716632
2024-04-26 05:00:00,88.03647401372521,88.33736325345205,1.9635259862747871,1.6626367465479424,72.83608725837041,2.280540865242074
