Timestamp (UTC),poa_global,poa_direct,poa_diffuse,cell_temperature,precipitable_water
2024-10-09 15:30:00,645.8403762731773,565.4268651921453,80.41351108103201,31.842886381089592,1.7000000000000002
2024-10-09 15:45:00,649.3412395363129,567.6169884138214,81.72425112249138,32.35783510336747,1.7000000000000002
2024-10-09 16:00:00,651.7775490698463,567.8905949510282,83.88695411881807,33.00694961805384,1.7000000000000002
2024-10-09 16:15:00,653.3072308881308,569.3293981553809,83.97783273274992,33.53692454879664,1.7000000000000002
2024-10-09 16:30:00,658.8398555388517,572.8400087146825,85.99984682416911,34.171041816578885,1.7000000000000002
2024-10-09 16:45:00,665.2078916140347,579.2169113327769,85.99098028125775,34.79443874428699,1.7000000000000002
2024-10-09 17:00:00,672.4945863425261,586.518198172017,85.97638817050901,35.436468275805936,1.7000000000000002
2024-10-09 17:15:00,682.2551937599213,595.3005706002205,86.95462315970084,36.098987116213,1.7000000000000002
2024-10-09 17:30:00,692.9759849850459,606.0284485303202,86.94753645472568,36.716682883395514,1.7000000000000002
2024-10-09 17:45:00,711.6940363550214,632.2927896951757,79.4012466598457,37.59523430388308,1.7000000000000002
2024-10-09 18:00:00,725.8919838214829,646.3313707073085,79.56061311417443,38.67282682329579,1.7000000000000002
2024-10-09 18:15:00,740.3179305656046,660.6335460117459,79.68438455385862,39.666435672716034,1.7000000000000002
2024-10-09 18:30:00,755.9338300443611,676.2208935869379,79.71293645742325,40.48474894455117,1.7000000000000002
2024-10-09 18:45:00,770.0011565066753,691.2022704929885,78.79888601368681,41.05567292266891,1.7000000000000002
2024-10-09 19:00:00,783.6408798609662,705.8905015221412,77.75037833882494,41.89187648509454,1.7000000000000002
2024-10-09 19:15:00,796.4568327214421,719.8916190438366,76.56521367760547,42.73894922569396,1.7000000000000002
2024-10-09 19:30:00,807.2212882350221,732.0113129215039,75.20997531351826,43.48755575113469,1.7000000000000002
2024-10-09 19:45:00,819.6726483547436,745.9438804057311,73.72876794901256,43.75634459236471,1.6
2024-10-09 20:00:00,823.1214774988476,751.8358750284057,71.28560247044197,44.06725550226587,1.6
2024-10-09 20:15:00,821.7974049806031,752.2703524629959,69.52705251760725,44.6105141118496,1.6
2024-10-09 20:30:00,814.1916765555849,747.2706283654841,66.92104819010085,44.02031075161314,1.6
2024-10-09 20:45:00,777.0330042212902,709.4640518996571,67.56895232163305,43.73039543936238,1.6
2024-10-09 21:00:00,637.5448161667927,571.3878568415572,66.15695932523542,42.60254205506618,1.6
2024-10-09 21:15:00,497.8098725890527,433.8812554739929,63.92861711505982,38.65218541114585,1.6
2024-10-09 21:30:00,361.78897682841847,300.3503189893691,61.438657839049355,34.93033041822445,1.6
2024-10-09 21:45:00,232.67831072232758,175.87817680998978,56.800133912337806,31.090859080083792,1.6
2024-10-09 22:00:00,114.00047044654882,62.054421134076634,51.946049312472184,27.315468219294917,1.6
2024-10-09 22:15:00,72.03659949376114,25.085362615180518,46.95123687858063,23.747271728194132,1.6
